key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.408,0.005016722,-0.321070234,1,0,0,9.945,cont1,0.005016722,-0.321070234,1,0,0,3.29,stop_stud,0,0,0,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.863,stop_stud,0,1,1,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.382,stop_stud,0,2,2,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.948,stop_stud,0,3,3,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.083,stop_stud,0,4,4,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.397,stop_stud,0,5,5,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.082,stop_stud,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.049,stop_stud,0,7,7,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.831,stop_stud,0,8,8,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.082,stop_stud,0,9,9,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.965,stop_stud,0,10,10,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.865,stop_stud,0,11,11,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.566,stop_stud,0,12,12,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.832,stop_stud,0,13,13,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.766,stop_stud,0,14,14,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.665,stop_stud,0,15,15,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.015,stop_stud,0,16,16,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,1.399,stop_stud,0,17,17,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.783,stop_stud,0,18,18,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005016722,-0.321070234,1,0,0,0.915,stop_stud,0,19,19,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,lm,AHQXCSWP0U6KO,71,yes,2020-12-29_11h27.17.891,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
