key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,33.191,-0.698630137,0.028767123,1,0,0,21.568,cont1,0,0,0,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5d4ecfd93273de0019663e6b,2020-12-28_17h06.54.277,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea64fbd92c4a27676cf639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
