key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,9.228945,0.002134472,-0.315368196,1,0,0,10.72439,cont1,0.002134472,-0.315368196,1,0,0,2.847215,stop_stud,0,0,0,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,2.139755,stop_stud,0,1,1,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.433005,stop_stud,0,2,2,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.316595,stop_stud,0,3,3,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.506945,stop_stud,0,4,4,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.874295,stop_stud,0,5,5,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.04896,stop_stud,0,6,6,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.316325,stop_stud,0,7,7,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.94883,stop_stud,0,8,8,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.27514,stop_stud,0,9,9,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.84874,stop_stud,0,10,10,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.09091,stop_stud,0,11,11,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.216565,stop_stud,0,12,12,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.24886,stop_stud,0,13,13,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.22434,stop_stud,0,14,14,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.12423,stop_stud,0,15,15,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.016145,stop_stud,0,16,16,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.94885,stop_stud,0,17,17,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.890965,stop_stud,0,18,18,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.599255,stop_stud,0,19,19,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,0.974085,stop_stud,0,20,20,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.099355,stop_stud,0,21,21,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.315368196,1,0,0,1.46632,stop_stud,0,22,22,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f3d88e03a16f0163ff5b93a,2020-12-28_14h57.42.934,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea38aa8f62109da77e9d98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
