key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.220645,0.002467105,-0.320723684,1,0,0,6.592825,cont1,0.002467105,-0.320723684,1,0,0,2.760125,stop_stud,0,0,0,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,2.068165,stop_stud,0,1,1,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,2.076385,stop_stud,0,2,2,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.66809,stop_stud,0,3,3,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.353285,stop_stud,0,4,4,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,2.396405,stop_stud,0,5,5,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.54706,stop_stud,0,6,6,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.39981,stop_stud,0,7,7,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.35396,stop_stud,0,8,8,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.34752,stop_stud,0,9,9,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.659515,stop_stud,0,10,10,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.452805,stop_stud,0,11,11,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.388805,stop_stud,0,12,12,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.792945,stop_stud,0,13,13,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.95354,stop_stud,0,14,14,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002467105,-0.320723684,1,0,0,1.599015,stop_stud,0,15,15,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,A55F6J0VK7TLV,A55F6J0VK7TLV,21,Yes,2020-12-26_19h37.05.577,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
