key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.489735,0.021276624,-0.299392121,1,0,0,28.961105,cont1,0,0,0,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5ef47ce9b4fd3d0430658f9c,2020-12-28_19h31.20.288,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7835bbdf7fa94fdec0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
