key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,11.77592,0.009448819,-0.315748031,1,0,0,7.49315,cont1,0,0,0,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5f8bd0a44685a00008f45486,2020-12-28_17h38.12.460,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a40069e3ba46ff92b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
