key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,13.56134,0.016013143,-0.300392163,1,0,0,12.10333,cont1,0,0,0,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5e2f95da81f6df558263a6e0,2020-12-28_15h46.27.730,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea6e2e2b11a45af2de0a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
